asset,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28
2.krs Desk 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 115,0.33,47.17,38.33,0,0,0,0.33,25.83,85.19,0,0,0,80.34,0,0,0,56.67,66.67,56.34,0,40,76.17,53.17,76.5,0,0,75.5,0,71.67,0,0,0,0,0,0,0,77,41,75.34,0,0,72.67,0,0,0,0,51,0,0,0,0,48.84,0,0,0,0,66.5,0,54,0,0,80.51,80.34,0,0
desk 104,0,69.01,0,80.67,0,51.5,80,0,81.84,0,63.5,82.17,74.5,0,0,20.67,82.99,0,75.17,4.33,78.51,67.17,66.17,78.67,78.91,68.17,77.67,74.88,76.84,0,73.5,59.17,0,42,83.17,76.67,77.5,79,0,0,77.34,79.67,0,75.01,0,0,72.01,76.84,28.33,68.67,78.17,76.67,0,0,0,65,75.34,65.34,0,0,72,54.17,9.33,0,0
Desk 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,78.67,51.84,75.34,25.67,79,0,88.01,0,0,7,71,89.17,0,0,62.84,0,80.67,0,32.5,69.34,0,88.68,0,83.84,0,82.34,0,0,2.67,81,0,0,0.5,0,87.51,0,0,0,0,0,66.6,75.5,0,87.39,0,0,86.53,0
DEsk 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,40.67,0,0,0,0,0,0,0,0,0.67,86.87,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,41.17,0,0,0,58.33,0,0,23.67,79.68,0,0,0
Desk 63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,6.17,0,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0
desk 109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,46.34,24,14.83,0,58.67,72.67,0,0,68.84,0,78.01,65.67,44,0,72.34,0,83.99,81,0,46.5,68,77.67,57.34,0,0,36.5,33,70.84,0,0,68.84,44.67,88.03,0,66.67,78.34,0,51.5,0,66.67,35,0,0,33.67,0,52.67,11.33,5.5,0
desk 101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.17,100,70.24,79.51,36.67,76.51,76.5,94.67,3,0,76.51,75.17,85.17,75.67,0,81.51,0,0,0,0,0,74,80.01,78.67,0,82.84,45.33,78.07,79.17,0,100,76.34,93.17,74.84,0,80.17,19.61,78.27,78.09,0,0,77.01,97.71,82.84,81.67,67.34,88.5,83.98,75.13,77.46
Desk 45,6.17,0.83,0,1,0,0,0,0,0,0,0,0.33,0,28.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.84,79.67,70,78.17,0,78.17,74,0,80.34,67.67,88.01,83,79.34,49.33,0,77.34,81.84,0,70.17,0,80.51,77.17,86.17,0,0,0,79.34,76.17,56,0,91.8,0,82.67,73.01,0,79.84,67.17,87.9,81.84,0.33,0,82.34,78.01,78.5,0,0,88.31,71.67,0,70.5
