asset,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30
2.krs Desk 7,66.84,0,0,79.84,3.67,0,0,0,0,0,0,32,0,0,0,35.67,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.17,0,0,0,76.34,0,0,0,71,0,0,73.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk 115,0,0,67.01,78.01,62,0,83.01,0,13.33,0,0,85.28,0,0,0,0,64.01,62.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.89,84,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.67,80.5,0
desk 104,78.5,26.17,71.84,14,0,77.84,81.84,78.17,6.33,0,77.84,78.34,0.33,74.5,0,79,74.34,72.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.34,80,84.17,70.5,78.34,78.5,62.01,79,59.67,16.83,79,79.5,0,79.84,36.83,80,80.84,0,90.15,0,81.17,82.17,0,75.17,37.17
Desk 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEsk 35,0,0,0,79.67,0,81.83,50.33,78.83,0,0,71.67,64.17,21.17,0,0,70.17,74.33,0,0,31.67,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,51,0,0,0,54,82.5,35.17,0,0,38.66,0,79.83,11.33,0,0,13.17,22.34,21,0
Desk 63,0,62.83,79.67,35.5,0.33,0,87.5,58.83,58,0,74.33,88.17,51.33,9,0,0,0,0,0,0,87.17,80.33,48.83,32.5,0,0,83.64,0,87.66,39.5,0,90.83,48.5,0,0,0,87.83,89,90,0,89,61.33,0,31.17,0,0,88.17,0,56.83,84.5,40.33,0,0,40,0,0,34.33,50.12,45.83,0,52,78.33,84.83,0,0
desk 109,0.33,0,56,81.17,0,0,79.67,82.34,62,0,66.84,22.33,0,0,0,86.34,82.5,61,0,0,0,0,0,0,0,0,0,0,63.83,0,0,0,78.5,0,0,0,0,0,0,0,0,74.98,0,80.17,0,30.28,64.34,53.34,22.5,49.17,0,59.5,80.67,41.33,0,61.17,60.67,56.17,0,0,0,74.5,60,50.34,2.17
desk 101,10,55.5,20.33,3.5,70.17,0,77.17,20.33,79.84,0,0,51.17,0,0,0,0,65,56.5,77.34,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.09,28,0,60.67,45.17,68.34,0,67.5,90.15,0,0,0,0,60.67,53,50.84,0
Desk 45,0,0,0,0,0,68,66.67,78.22,2.17,0,0,0,73.01,38.83,0,62.5,80.5,75.5,0,0,0,78.18,29.84,0,0,0,0,0,79.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4.33,0,0,0,26.34,79.89,0,0,75.33,0,67.34,0,0,0,16.34,79.08,0
desk 110,74.5,68.67,27.17,0,0,69.01,82,0,0,0,0,37.84,0,0,0,0,4.83,0,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.67,0,61.34,0,0,0,81.5,80.01,70.84,0,0,52.84,78.51,77.17,77.17,81.01,0,80.67,78.5,0,81.84,71.17,72.34,81,0
